📽清朝著名莲子,#genre#

清朝,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
著名,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8#http://zhibo.hkstv.tv/livestream/mutfysrq.flv
莲子,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv

中央卫视,#genre#
CCTV1,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8
CCTV2,http://39.134.67.108/PLTV/88888888/224/3221225599/1.m3u8
CCTV3,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8
CCTV4,http://39.134.67.108/PLTV/88888888/224/3221225797/1.m3u8
CCTV5,http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8
CCTV5+,http://39.134.67.108/PLTV/88888888/224/3221225507/1.m3u8
CCTV6,http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8
CCTV7,http://39.134.67.108/PLTV/88888888/224/3221225671/1.m3u8
CCTV8,http://39.134.67.108/PLTV/88888888/224/3221225795/1.m3u8
CCTV9,http://39.134.67.108/PLTV/88888888/224/3221225676/1.m3u8
CCTV10,http://39.134.67.108/PLTV/88888888/224/3221225677/1.m3u8
CCTV11,http://39.134.67.108/PLTV/88888888/224/3221225517/1.m3u8
CCTV12,http://39.134.67.108/PLTV/88888888/224/3221225669/1.m3u8
CCTV13,http://39.134.67.108/PLTV/88888888/224/3221225812/1.m3u8
CCTV14,http://39.134.67.108/PLTV/88888888/224/3221225674/1.m3u8
CCTV15,http://39.134.67.108/PLTV/88888888/224/3221225513/1.m3u8
CCTV16,http://39.134.67.108/PLTV/88888888/224/3221225893/1.m3u8
CCTV17,http://39.134.67.108/PLTV/88888888/224/3221225708/1.m3u8

中央卫视（高清）,#genre#
CCTV1[1920*1080],http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226016/.m3u8
CCTV1[1920*1080],http://39.134.67.148/PLTV/88888888/224/3221225816/1.m3u8
CCTV2[1280*720],http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225588/.m3u8
CCTV2[1280*720],http://39.134.67.148/PLTV/88888888/224/3221225599/1.m3u8
CCTV3[1920*1080],http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226021/.m3u8
CCTV3[1920*1080],http://39.134.67.148/PLTV/88888888/224/3221225799/1.m3u8
CCTV4[1280*720],http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226007/.m3u8
CCTV4[1280*720],http://39.134.67.148/PLTV/88888888/224/3221225797/1.m3u8
CCTV4[1920*1080],http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226428/.m3u8
CCTV4[1920*1080],http://39.134.67.148/PLTV/88888888/224/3221226092/1.m3u8
CCTV5[1920*1080],http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226019/.m3u8
CCTV5[1920*1080],http://39.134.67.148/PLTV/88888888/224/3221225818/1.m3u8
CCTV5+[1920*1080],http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225603/.m3u8
CCTV5+[1920*1080],http://39.134.67.148/PLTV/88888888/224/3221225507/1.m3u8
CCTV6[1920*1080],http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226010/.m3u8
CCTV6[1920*1080],http://39.134.67.148/PLTV/88888888/224/3221225814/1.m3u8
CCTV7[1920*1080],http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225733/.m3u8
CCTV7[1920*1080],http://39.134.67.148/PLTV/88888888/224/3221225671/1.m3u8
CCTV8[1920*1080],http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226008/.m3u8
CCTV8[1920*1080],http://39.134.67.148/PLTV/88888888/224/3221225795/1.m3u8
CCTV9[1920*1080],http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225734/.m3u8
CCTV9[1920*1080],http://39.134.67.148/PLTV/88888888/224/3221225676/1.m3u8
CCTV10[1920*1080],http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225730/.m3u8
CCTV10[1920*1080],http://39.134.67.148/PLTV/88888888/224/3221225677/1.m3u8
CCTV11[1280*720],http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225597/.m3u8
CCTV11[1280*720],http://39.134.67.148/PLTV/88888888/224/3221225517/1.m3u8
CCTV12[1920*1080],http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225731/.m3u8
CCTV12[1920*1080],http://39.134.67.148/PLTV/88888888/224/3221225669/1.m3u8
CCTV13[1920*1080],http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226537/.m3u8
CCTV13[1920*1080],http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226571/.m3u8
CCTV13[1920*1080],http://39.134.67.148/PLTV/88888888/224/3221226077/1.m3u8
CCTV13[1920*1080],http://39.134.67.148/PLTV/88888888/224/3221226125/1.m3u8
CCTV14[1920*1080],http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225732/.m3u8
CCTV14[1920*1080],http://39.134.67.148/PLTV/88888888/224/3221225674/1.m3u8
CCTV15[1280*720],http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225601/.m3u8
CCTV15[1280*720],http://39.134.67.148/PLTV/88888888/224/3221225513/1.m3u8
CCTV16[1920*1080],http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226100/.m3u8
CCTV16[1920*1080],http://39.134.67.148/PLTV/88888888/224/3221225893/1.m3u8
CCTV17[1920*1080],http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225765/.m3u8
CCTV17[1920*1080],http://39.134.67.148/PLTV/88888888/224/3221225708/1.m3u8
CETV1[768*576],http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225652/.m3u8
CETV1[768*576],http://39.134.67.148/PLTV/88888888/224/3221225563/1.m3u8
CGTN纪录[768*576],http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225602/.m3u8
CGTN纪录[768*576],http://39.134.67.148/PLTV/88888888/224/3221225509/1.m3u8
CGTN英语[768*576],http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225604/.m3u8
CGTN英语[768*576],http://39.134.67.148/PLTV/88888888/224/3221225510/1.m3u8
NewTV爱情喜剧[1920*1080],http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225669/.m3u8
NewTV爱情喜剧[1920*1080],http://39.134.67.148/PLTV/88888888/224/3221225533/1.m3u8
NewTV超级电视剧[1920*1080],http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225716/.m3u8
NewTV超级电视剧[1920*1080],http://39.134.67.148/PLTV/88888888/224/3221225637/1.m3u8
